City Name,County Name, Total Revenue , Local Revenue ,% Local Revenue, Total Revenue per capita , Total Population ,Total Pop. MOE,,,,,,,
Mendota,Fresno," 7,927,746 "," 5,716,292 ",72.10, 739 ," 10,729 ",36,,,,,,,
Orange Cove,Fresno," 15,343,646 "," 10,968,449 ",71.49," 1,726 "," 8,889 ",23,,,,,,,
Parlier,Fresno," 10,396,982 "," 6,625,490 ",63.73, 732 ," 14,204 ",22,,,,,,,
Reedley,Fresno," 22,388,663 "," 18,653,910 ",85.49, 934 ," 23,968 ",45,,,,,,,
San Joaquin,Fresno," 3,973,729 "," 2,300,545 ",57.89," 1,002 "," 3,965 ",17,,,,,,,
Sanger,Fresno," 27,091,143 "," 23,960,786 ",88.45," 1,138 "," 23,814 ",34,,,,,,,
Selma,Fresno," 21,099,901 "," 18,209,120 ",86.30, 920 ," 22,939 ",32,,,,,,,
Orland,Glenn," 9,238,028 "," 4,885,925 ",53.54," 1,281 "," 7,214 ",29,,,,,,,
Willows,Glenn," 6,377,919 "," 5,043,279 ",80.10," 1,030 "," 6,190 ",20,,,,,,,
Arcata,Humboldt," 30,865,701 "," 26,513,097 ",86.16," 1,803 "," 17,118 ",87,,,,,,,
Blue Lake,Humboldt," 2,482,759 "," 1,841,462 ",74.17," 1,858 "," 1,336 ",211,,,,,,,
Eureka,Humboldt," 68,290,629 "," 61,995,746 ",90.88," 2,527 "," 27,027 ",41,,,,,,,
Ferndale,Humboldt," 7,458,700 "," 6,509,190 ",87.43," 4,963 "," 1,503 ",219,,,,,,,
Fortuna,Humboldt," 13,982,684 "," 12,211,245 ",87.33," 1,190 "," 11,753 ",35,,,,,,,
Rio Dell,Humboldt," 4,711,318 "," 2,592,061 ",55.02," 1,410 "," 3,342 ",16,,,,,,,
Trinidad,Humboldt," 1,367,761 "," 782,192 ",57.19," 4,782 ", 286 ,94,,,,,,,
Brawley,Imperial," 44,819,513 "," 24,276,294 ",54.16," 1,819 "," 24,645 ",27,,,,,,,
Calexico,Imperial," 45,064,049 "," 37,844,393 ",83.98," 1,206 "," 37,378 ",31,,,,,,,
Calipatria,Imperial," 3,290,381 "," 2,034,015 ",72.06, 451 ," 7,292 ",22,,,,,,,
El Centro,Imperial," 191,898,306 "," 186,059,547 ",96.96," 4,554 "," 42,141 ",44,,,,,,,
Holtville,Imperial," 8,750,078 "," 5,798,681 ",67.33," 1,481 "," 5,908 ",22,,,,,,,
Imperial,Imperial,<Null>,<Null>,<Null>, <Null> ," 14,017 ",32,,,,,,,
Westmorland,Imperial,<Null>,<Null>,<Null>, <Null> ," 1,714 ",226,,,,,,,
Bishop,Inyo," 9,968,009 "," 8,177,873 ",82.59," 2,597 "," 3,839 ",20,,,,,,,
Arvin,Kern," 11,168,131 "," 8,571,899 ",76.75, 594 ," 18,809 ",24,,,,,,,
Bakersfield,Kern," 382,139,943 "," 291,979,379 ",76.52," 1,125 "," 339,761 ",87,,,,,,,
California City,Kern," 9,141,828 "," 7,608,181 ",83.22, 668 ," 13,684 ",41,,,,,,,
