City Name,County Name, Total Revenue , Local Revenue ,% Local Revenue, Total Revenue per capita , Total Population ,Total Pop. MOE,,,,,,,
La Palma,Orange," 13,602,838 "," 12,342,011 ",92.14, 876 ," 15,536 ",34,,,,,,,
Laguna Beach,Orange," 70,973,644 "," 66,958,666 ",95.07," 3,112 "," 22,808 ",49,,,,,,,
Laguna Hills,Orange," 23,131,702 "," 18,320,552 ",93.22, 759 ," 30,477 ",114,,,,,,,
Laguna Niguel,Orange," 39,652,306 "," 34,224,459 ",89.07, 631 ," 62,855 ",113,,,,,,,
Laguna Woods,Orange," 6,708,676 "," 4,577,757 ",84.13, 412 ," 16,276 ",50,,,,,,,
Lake Forest,Orange," 42,269,843 "," 38,158,252 ",90.27, 548 ," 77,111 ",59,,,,,,,
Los Alamitos,Orange," 12,205,561 "," 11,017,730 ",91.98," 1,067 "," 11,442 ",37,,,,,,,
Mission Viejo,Orange," 66,877,858 "," 58,293,269 ",90.07, 719 ," 93,076 ",59,,,,,,,
Newport Beach,Orange," 330,047,203 "," 322,083,973 ",98.01," 3,910 "," 84,417 ",47,,,,,,,
Orange,Orange," 174,328,725 "," 155,040,809 ",91.96," 1,286 "," 135,582 ",78,,,,,,,
Placentia,Orange," 44,763,910 "," 39,921,615 ",90.98, 894 ," 50,089 ",105,,,,,,,
Rancho Santa Margarita,Orange," 17,838,113 "," 14,973,459 ",84.58, 373 ," 47,769 ",38,,,,,,,
San Clemente,Orange," 98,515,061 "," 92,014,147 ",95.38," 1,588 "," 62,052 ",46,,,,,,,
San Juan Capistrano,Orange," 56,957,879 "," 52,729,385 ",94.22," 1,653 "," 34,455 ",56,,,,,,,
Santa Ana,Orange," 408,192,061 "," 294,742,989 ",76.95," 1,254 "," 325,517 ",166,,,,,,,
Seal Beach,Orange," 38,494,094 "," 36,534,309 ",95.60," 1,593 "," 24,157 ",69,,,,,,,
Stanton,Orange," 20,365,057 "," 17,075,641 ",85.66, 534 ," 38,141 ",41,,,,,,,
Tustin,Orange," 91,213,408 "," 85,566,757 ",95.42," 1,222 "," 74,625 ",66,,,,,,,
Villa Park,Orange," 4,367,529 "," 3,095,569 ",90.06, 750 ," 5,825 ",26,,,,,,,
Westminster,Orange," 69,785,982 "," 60,511,544 ",87.45, 780 ," 89,440 ",74,,,,,,,
Yorba Linda,Orange," 54,942,512 "," 51,690,863 ",95.69, 864 ," 63,578 ",59,,,,,,,
Auburn,Placer," 15,932,065 "," 13,730,906 ",86.18," 1,182 "," 13,476 ",36,,,,,,,
Colfax,Placer," 6,221,460 "," 3,820,365 ",61.41," 3,112 "," 1,999 ",324,,,,,,,
Lincoln,Placer," 48,522,400 "," 45,003,940 ",92.75," 1,208 "," 40,177 ",66,,,,,,,
Loomis,Placer," 4,524,933 "," 3,843,038 ",84.93, 695 ," 6,511 ",19,,,,,,,
Rocklin,Placer," 51,136,131 "," 42,974,610 ",87.53, 918 ," 55,713 ",52,,,,,,,
Roseville,Placer," 554,347,852 "," 533,761,239 ",96.29," 4,754 "," 116,613 ",48,,,,,,,
Portola,Plumas," 2,870,169 "," 2,225,559 ",77.54, 935 ," 3,069 ",394,,,,,,,
Banning,Riverside," 60,785,178 "," 56,812,221 ",93.46," 2,067 "," 29,414 ",35,,,,,,,
Beaumont,Riverside,<Null>,<Null>,<Null>, <Null> ," 34,737 ",42,,,,,,,
Blythe,Riverside," 17,919,671 "," 16,078,731 ",89.73, 849 ," 21,102 ",29,,,,,,,
Calimesa,Riverside," 6,243,334 "," 4,614,439 ",88.43, 788 ," 7,923 ",32,,,,,,,
Canyon Lake,Riverside," 4,075,764 "," 3,478,557 ",85.35, 382 ," 10,663 ",39,,,,,,,
Cathedral City,Riverside," 51,931,975 "," 42,491,101 ",88.65," 1,016 "," 51,130 ",61,,,,,,,
Coachella,Riverside," 14,939,711 "," 12,511,184 ",83.74, 379 ," 39,442 ",42,,,,,,,
Corona,Riverside," 151,803,331 "," 140,609,263 ",93.86, 998 ," 152,111 ",70,,,,,,,
Desert Hot Springs,Riverside," 23,333,817 "," 20,752,708 ",88.94, 905 ," 25,793 ",39,,,,,,,
Eastvale,Riverside," 12,698,615 "," 7,566,256 ",63.51, 238 ," 53,437 ",1885,,,,,,,
Hemet,Riverside," 65,953,452 "," 57,838,979 ",87.70, 848 ," 77,752 ",104,,,,,,,
Indian Wells,Riverside," 38,422,003 "," 37,555,359 ",97.74," 7,782 "," 4,937 ",26,,,,,,,
Indio,Riverside," 67,734,495 "," 56,531,033 ",84.15, 910 ," 74,402 ",74,,,,,,,
La Quinta,Riverside," 50,087,277 "," 44,796,349 ",94.80," 1,369 "," 36,600 ",84,,,,,,,
Lake Elsinore,Riverside," 40,737,077 "," 37,204,019 ",91.38, 808 ," 50,405 ",56,,,,,,,
Menifee,Riverside," 32,709,815 "," 24,646,454 ",75.35, 436 ," 75,023 ",65,,,,,,,
Moreno Valley,Riverside," 115,024,060 "," 97,509,578 ",85.29, 602 ," 190,977 ",79,,,,,,,
Murrieta,Riverside," 60,842,460 "," 46,118,308 ",77.30, 612 ," 99,476 ",81,,,,,,,
Norco,Riverside," 28,687,527 "," 26,034,987 ",93.89," 1,057 "," 27,131 ",58,,,,,,,
Palm Desert,Riverside," 77,623,228 "," 74,317,556 ",95.74," 1,592 "," 48,769 ",58,,,,,,,
Palm Springs,Riverside," 121,988,311 "," 105,245,360 ",86.33," 2,708 "," 45,045 ",66,,,,,,,
Perris,Riverside," 38,735,511 "," 34,827,273 ",89.91, 587 ," 65,993 ",68,,,,,,,
Rancho Mirage,Riverside," 55,299,523 "," 54,018,169 ",97.90," 3,249 "," 17,022 ",45,,,,,,,
Riverside,Riverside," 920,717,465 "," 870,412,365 ",93.85," 3,033 "," 303,569 ",116,,,,,,,
San Jacinto,Riverside," 32,222,604 "," 26,703,006 ",84.52, 754 ," 42,722 ",84,,,,,,,
Temecula,Riverside," 72,699,771 "," 62,325,849 ",85.73, 740 ," 98,189 ",58,,,,,,,
Wildomar,Riverside," 10,191,742 "," 7,083,605 ",69.50, 324 ," 31,452 ",43,,,,,,,
Citrus Heights,Sacramento," 52,262,046 "," 44,946,619 ",86.00, 621 ," 84,112 ",45,,,,,,,
Elk Grove,Sacramento," 122,447,509 "," 103,152,828 ",84.24, 836 ," 146,537 ",101,,,,,,,
Folsom,Sacramento," 101,711,650 "," 94,101,035 ",94.16," 1,441 "," 70,564 ",40,,,,,,,
Galt,Sacramento," 45,897,360 "," 42,243,275 ",92.06," 1,962 "," 23,393 ",60,,,,,,,
Isleton,Sacramento," 1,321,153 "," 1,073,899 ",81.28," 1,882 ", 702 ,183,,,,,,,
Rancho Cordova,Sacramento," 61,578,127 "," 50,208,945 ",81.55, 961 ," 64,072 ",52,,,,,,,
Sacramento,Sacramento," 788,055,000 "," 692,313,000 ",87.86," 1,700 "," 463,537 ",116,,,,,,,
Hollister,San Benito," 37,364,034 "," 34,223,944 ",91.60," 1,076 "," 34,733 ",30,,,,,,,
San Juan Bautista,San Benito," 2,998,270 "," 2,826,758 ",97.61," 1,852 "," 1,619 ",362,,,,,,,
Adelanto,San Bernardino," 13,165,265 "," 11,899,594 ",90.39, 429 ," 30,670 ",40,,,,,,,
Apple Valley,San Bernardino," 46,619,458 "," 40,598,509 ",87.24, 682 ," 68,316 ",46,,,,,,,
Barstow,San Bernardino," 40,226,603 "," 39,163,627 ",97.36," 1,756 "," 22,913 ",44,,,,,,,
Big Bear Lake,San Bernardino," 33,140,596 "," 30,110,794 ",91.57," 6,487 "," 5,109 ",32,,,,,,,
Chino,San Bernardino," 103,694,962 "," 95,388,993 ",91.99," 1,329 "," 78,050 ",51,,,,,,,
Chino Hills,San Bernardino," 77,948,754 "," 72,581,611 ",93.11," 1,043 "," 74,765 ",60,,,,,,,
Colton,San Bernardino," 118,555,748 "," 112,804,865 ",95.15," 2,268 "," 52,283 ",87,,,,,,,
Fontana,San Bernardino," 151,368,604 "," 132,822,207 ",89.82, 785 ," 192,779 ",71,,,,,,,
Grand Terrace,San Bernardino," 9,003,162 "," 7,860,152 ",87.69, 742 ," 12,132 ",50,,,,,,,
Hesperia,San Bernardino," 35,054,535 "," 28,446,429 ",81.22, 397 ," 88,247 ",45,,,,,,,
Highland,San Bernardino," 27,541,705 "," 21,750,414 ",81.44, 522 ," 52,777 ",79,,,,,,,
Loma Linda,San Bernardino," 39,661,395 "," 33,126,755 ",84.03," 1,718 "," 23,081 ",31,,,,,,,
Montclair,San Bernardino," 34,804,173 "," 28,638,040 ",82.28, 946 ," 36,802 ",35,,,,,,,
Needles,San Bernardino," 6,539,921 "," 6,017,297 ",92.01," 1,332 "," 4,910 ",34,,,,,,,
Ontario,San Bernardino," 280,779,647 "," 259,167,489 ",92.30," 1,700 "," 165,120 ",64,,,,,,,
Rancho Cucamonga,San Bernardino," 122,620,110 "," 104,785,897 ",87.32, 752 ," 163,151 ",85,,,,,,,
Redlands,San Bernardino," 96,842,815 "," 89,220,271 ",93.18," 1,404 "," 68,995 ",42,,,,,,,
Rialto,San Bernardino," 80,336,203 "," 74,924,568 ",93.26, 807 ," 99,501 ",78,,,,,,,
San Bernardino,San Bernardino," 248,098,115 "," 218,501,676 ",88.31," 1,181 "," 210,100 ",118,,,,,,,
Twentynine Palms,San Bernardino," 11,506,379 "," 9,207,130 ",83.37, 446 ," 25,786 ",39,,,,,,,
Upland,San Bernardino," 81,981,424 "," 76,709,820 ",93.57," 1,108 "," 74,021 ",46,,,,,,,
Victorville,San Bernardino," 110,626,367 "," 99,985,201 ",91.53, 990 ," 111,704 ",59,,,,,,,
Yucaipa,San Bernardino," 30,587,790 "," 23,541,911 ",77.74, 601 ," 50,862 ",44,,,,,,,
Yucca Valley,San Bernardino," 12,205,599 "," 10,025,835 ",83.06, 595 ," 20,508 ",55,,,,,,,
Carlsbad,San Diego," 212,804,827 "," 196,585,095 ",92.44," 2,079 "," 102,342 ",63,,,,,,,
Chula Vista,San Diego," 232,530,660 "," 203,741,962 ",87.66, 984 ," 236,218 ",99,,,,,,,
Coronado,San Diego," 55,492,155 "," 52,831,460 ",95.21," 2,857 "," 19,423 ",33,,,,,,,
Del Mar,San Diego," 26,160,960 "," 21,576,499 ",82.48," 6,266 "," 4,175 ",21,,,,,,,
El Cajon,San Diego," 88,512,200 "," 81,793,294 ",92.44, 896 ," 98,813 ",88,,,,,,,
Encinitas,San Diego," 97,646,493 "," 93,243,403 ",95.49," 1,649 "," 59,223 ",111,,,,,,,
Escondido,San Diego," 194,281,538 "," 178,036,393 ",92.63," 1,363 "," 142,573 ",79,,,,,,,
Imperial Beach,San Diego," 35,606,433 "," 33,406,641 ",93.82," 1,351 "," 26,348 ",39,,,,,,,
La Mesa,San Diego," 56,064,949 "," 51,396,785 ",92.28, 988 ," 56,722 ",48,,,,,,,
Lemon Grove,San Diego," 11,971,115 "," 10,161,772 ",84.89, 474 ," 25,250 ",57,,,,,,,
National City,San Diego," 50,074,199 "," 44,545,614 ",89.06, 863 ," 58,015 ",52,,,,,,,
Oceanside,San Diego," 240,054,998 "," 223,802,702 ",93.23," 1,445 "," 166,139 ",68,,,,,,,
Poway,San Diego," 125,521,007 "," 122,816,492 ",97.97," 2,628 "," 47,762 ",69,,,,,,,
San Diego,San Diego," 2,326,896,846 "," 2,157,489,764 ",92.72," 1,795 "," 1,296,437 ",95,,,,,,,
San Marcos,San Diego," 71,017,532 "," 63,893,931 ",90.37, 880 ," 80,709 ",55,,,,,,,
Santee,San Diego," 37,189,009 "," 32,483,835 ",89.97, 698 ," 53,302 ",35,,,,,,,
Solana Beach,San Diego," 20,824,365 "," 20,176,651 ",97.02," 1,619 "," 12,864 ",39,,,,,,,
Vista,San Diego," 101,277,330 "," 93,996,469 ",93.10," 1,086 "," 93,293 ",66,,,,,,,
San Francisco,San Francisco," 8,527,657,110 "," 7,128,518,728 ",84.20," 10,687 "," 797,983 ",*****,,,,,,,
Escalon,San Joaquin," 6,435,580 "," 5,986,501 ",93.07, 906 ," 7,106 ",22,,,,,,,
Lathrop,San Joaquin," 33,284,821 "," 30,616,612 ",92.68," 1,903 "," 17,488 ",44,,,,,,,
Lodi,San Joaquin," 149,700,408 "," 140,064,210 ",93.57," 2,401 "," 62,354 ",37,,,,,,,
Manteca,San Joaquin," 104,011,035 "," 95,402,535 ",91.72," 1,574 "," 66,081 ",70,,,,,,,
Ripon,San Joaquin," 14,803,771 "," 13,526,049 ",91.37," 1,056 "," 14,021 ",42,,,,,,,
Stockton,San Joaquin,<Null>,<Null>,<Null>, <Null> ," 289,926 ",74,,,,,,,
Tracy,San Joaquin," 123,697,253 "," 112,630,685 ",91.06," 1,525 "," 81,115 ",52,,,,,,,
Arroyo Grande,San Luis Obispo," 25,624,501 "," 22,924,428 ",89.46," 1,496 "," 17,132 ",45,,,,,,,
Atascadero,San Luis Obispo," 48,757,243 "," 44,058,237 ",90.36," 1,729 "," 28,194 ",42,,,,,,,
El Paso De Robles,San Luis Obispo," 48,449,168 "," 42,994,085 ",88.87," 1,655 "," 29,270 ",43,,,,,,,
Grover Beach,San Luis Obispo," 13,112,886 "," 12,022,688 ",91.69, 995 ," 13,175 ",27,,,,,,,
Morro Bay,San Luis Obispo," 22,377,048 "," 20,011,432 ",89.41," 2,180 "," 10,263 ",25,,,,,,,
Pismo Beach,San Luis Obispo," 24,748,264 "," 24,330,836 ",98.36," 3,192 "," 7,753 ",37,,,,,,,
San Luis Obispo,San Luis Obispo," 95,402,700 "," 87,832,900 ",92.07," 2,114 "," 45,130 ",37,,,,,,,
Atherton,San Mateo," 14,956,638 "," 13,982,979 ",95.73," 2,173 "," 6,883 ",20,,,,,,,
Belmont,San Mateo," 39,324,830 "," 31,670,552 ",81.99," 1,538 "," 25,568 ",33,,,,,,,
Brisbane,San Mateo," 19,631,382 "," 19,040,018 ",96.99," 4,698 "," 4,179 ",23,,,,,,,
Burlingame,San Mateo," 93,268,505 "," 89,038,046 ",95.46," 3,271 "," 28,514 ",31,,,,,,,
Colma,San Mateo," 14,068,402 "," 13,874,049 ",98.69," 7,881 "," 1,785 ",306,,,,,,,
Daly City,San Mateo," 94,748,001 "," 83,375,419 ",88.56, 942 ," 100,556 ",61,,,,,,,
East Palo Alto,San Mateo," 27,696,302 "," 23,445,350 ",86.82, 986 ," 28,077 ",57,,,,,,,
Foster City,San Mateo," 36,575,907 "," 35,325,878 ",96.58," 1,214 "," 30,133 ",50,,,,,,,
Half Moon Bay,San Mateo," 14,964,220 "," 13,513,595 ",90.55," 1,333 "," 11,228 ",40,,,,,,,
Hillsborough,San Mateo," 35,785,385 "," 35,173,001 ",98.29," 3,329 "," 10,748 ",25,,,,,,,
Menlo Park,San Mateo," 81,810,140 "," 78,204,601 ",95.59," 2,583 "," 31,669 ",66,,,,,,,
Millbrae,San Mateo," 54,661,472 "," 52,343,981 ",96.92," 2,569 "," 21,275 ",30,,,,,,,
Pacifica,San Mateo," 40,603,392 "," 36,165,050 ",89.07," 1,096 "," 37,043 ",47,,,,,,,
Portola Valley,San Mateo," 4,599,364 "," 4,314,881 ",94.08," 1,063 "," 4,326 ",18,,,,,,,
Redwood City,San Mateo," 161,963,446 "," 154,674,999 ",95.99," 2,130 "," 76,031 ",44,,,,,,,
San Bruno,San Mateo," 72,708,250 "," 70,652,253 ",97.17," 1,787 "," 40,677 ",50,,,,,,,
San Carlos,San Mateo," 43,915,357 "," 39,594,253 ",90.16," 1,561 "," 28,130 ",52,,,,,,,
San Mateo,San Mateo," 139,882,666 "," 131,393,917 ",93.93," 1,458 "," 95,957 ",67,,,,,,,
South San Francisco,San Mateo," 97,135,184 "," 90,323,307 ",93.07," 1,546 "," 62,822 ",38,,,,,,,
Woodside,San Mateo," 6,491,339 "," 5,951,382 ",95.46," 1,233 "," 5,263 ",16,,,,,,,
Buellton,Santa Barbara," 7,708,052 "," 7,242,050 ",93.95," 1,636 "," 4,712 ",26,,,,,,,
Carpinteria,Santa Barbara," 9,128,553 "," 8,584,731 ",94.04, 697 ," 13,106 ",30,,,,,,,
Goleta,Santa Barbara," 35,178,622 "," 32,750,128 ",93.10," 1,187 "," 29,634 ",42,,,,,,,
Guadalupe,Santa Barbara," 5,645,937 "," 5,409,106 ",95.81, 818 ," 6,901 ",17,,,,,,,
Lompoc,Santa Barbara," 77,546,063 "," 71,218,466 ",92.59," 1,839 "," 42,178 ",56,,,,,,,
Santa Barbara,Santa Barbara," 245,664,870 "," 218,230,450 ",89.01," 2,786 "," 88,192 ",42,,,,,,,
Santa Maria,Santa Barbara," 138,138,265 "," 122,661,733 ",89.49," 1,427 "," 96,803 ",42,,,,,,,
Solvang,Santa Barbara," 13,411,908 "," 12,751,167 ",95.07," 2,561 "," 5,237 ",23,,,,,,,
Campbell,Santa Clara," 40,087,404 "," 35,966,535 ",90.44," 1,025 "," 39,108 ",47,,,,,,,
Cupertino,Santa Clara," 54,124,686 "," 50,581,045 ",93.60, 942 ," 57,459 ",100,,,,,,,
Gilroy,Santa Clara," 130,123,837 "," 124,255,850 ",95.60," 2,722 "," 47,808 ",46,,,,,,,
Los Altos,Santa Clara," 36,959,656 "," 34,650,559 ",94.71," 1,285 "," 28,752 ",50,,,,,,,
Los Altos Hills,Santa Clara," 9,460,965 "," 9,017,068 ",95.31," 1,196 "," 7,912 ",32,,,,,,,
Los Gatos,Santa Clara," 35,312,778 "," 32,258,988 ",91.42," 1,211 "," 29,165 ",109,,,,,,,
Milpitas,Santa Clara," 94,169,561 "," 89,293,157 ",95.40," 1,426 "," 66,038 ",55,,,,,,,
Monte Sereno,Santa Clara," 2,527,948 "," 2,403,420 ",95.07, 757 ," 3,338 ",20,,,,,,,
Morgan Hill,Santa Clara," 47,971,760 "," 44,636,270 ",93.05," 1,287 "," 37,278 ",50,,,,,,,
Mountain View,Santa Clara," 162,285,614 "," 156,120,993 ",96.91," 2,211 "," 73,394 ",64,,,,,,,
Palo Alto,Santa Clara," 412,252,000 "," 408,560,000 ",99.11," 6,495 "," 63,475 ",56,,,,,,,
San Jose,Santa Clara," 1,445,672,824 "," 1,317,269,582 ",91.70," 1,538 "," 939,688 ",114,,,,,,,
Santa Clara,Santa Clara," 535,623,958 "," 526,615,398 ",98.33," 4,679 "," 114,482 ",63,,,,,,,
Saratoga,Santa Clara," 20,280,804 "," 17,690,407 ",89.55, 681 ," 29,781 ",36,,,,,,,
Sunnyvale,Santa Clara," 283,902,115 "," 245,943,256 ",86.82," 2,051 "," 138,436 ",57,,,,,,,
Capitola,Santa Cruz," 14,111,639 "," 12,182,851 ",86.83," 1,431 "," 9,864 ",29,,,,,,,
Santa Cruz,Santa Cruz," 169,262,142 "," 161,439,587 ",95.38," 2,868 "," 59,022 ",35,,,,,,,
Scotts Valley,Santa Cruz," 11,102,110 "," 10,446,545 ",94.67, 967 ," 11,480 ",81,,,,,,,
Watsonville,Santa Cruz," 73,372,736 "," 68,734,738 ",93.68," 1,459 "," 50,291 ",29,,,,,,,
Anderson,Shasta," 11,950,254 "," 8,810,521 ",75.20," 1,204 "," 9,927 ",26,,,,,,,
Redding,Shasta," 343,472,573 "," 294,869,427 ",85.85," 3,830 "," 89,674 ",47,,,,,,,
Shasta Lake,Shasta," 27,582,321 "," 24,579,364 ",91.73," 2,725 "," 10,121 ",28,,,,,,,
Loyalton,Sierra," 2,135,766 "," 933,702 ",43.72," 2,400 ", 890 ,241,,,,,,,
Dorris,Siskiyou," 1,208,149 "," 691,837 ",57.26," 1,385 ", 872 ,195,,,,,,,
Dunsmuir,Siskiyou," 2,984,670 "," 2,310,481 ",78.78," 1,795 "," 1,663 ",218,,,,,,,
Etna,Siskiyou," 1,568,261 "," 706,514 ",45.05," 2,175 ", 721 ,218,,,,,,,
Fort Jones,Siskiyou," 788,890 "," 494,465 ",62.68," 1,326 ", 595 ,191,,,,,,,
Montague,Siskiyou," 1,926,947 "," 1,184,848 ",61.49," 1,276 "," 1,510 ",281,,,,,,,
Mt. Shasta,Siskiyou," 5,121,419 "," 4,513,043 ",88.29," 1,501 "," 3,411 ",26,,,,,,,
Tulelake,Siskiyou," 1,113,318 "," 842,639 ",75.69," 1,135 ", 981 ,170,,,,,,,
Weed,Siskiyou," 4,261,005 "," 3,340,529 ",78.40," 1,446 "," 2,947 ",33,,,,,,,
Yreka,Siskiyou," 13,603,029 "," 10,714,439 ",78.77," 1,768 "," 7,696 ",29,,,,,,,
Benicia,Solano," 66,214,033 "," 62,793,237 ",95.23," 2,454 "," 26,981 ",32,,,,,,,
Dixon,Solano," 16,143,311 "," 13,688,041 ",85.52, 890 ," 18,141 ",47,,,,,,,
Fairfield,Solano," 132,718,188 "," 104,966,058 ",79.20," 1,271 "," 104,404 ",77,,,,,,,
Rio Vista,Solano," 12,691,739 "," 10,867,988 ",85.63," 1,791 "," 7,088 ",28,,,,,,,
Suisun City,Solano," 18,853,380 "," 13,610,062 ",72.19, 676 ," 27,900 ",38,,,,,,,
Vacaville,Solano," 137,057,711 "," 112,561,166 ",82.44," 1,486 "," 92,217 ",70,,,,,,,
Vallejo,Solano," 227,588,067 "," 146,216,900 ",64.38," 1,962 "," 116,021 ",109,,,,,,,
Cloverdale,Sonoma," 8,336,502 "," 7,288,793 ",87.43, 994 ," 8,390 ",27,,,,,,,
Cotati,Sonoma," 8,002,286 "," 7,052,569 ",88.13," 1,119 "," 7,154 ",27,,,,,,,
Healdsburg,Sonoma," 38,005,240 "," 34,815,292 ",91.70," 3,405 "," 11,161 ",25,,,,,,,
Petaluma,Sonoma," 103,286,002 "," 94,752,997 ",91.93," 1,804 "," 57,265 ",46,,,,,,,
Rohnert Park,Sonoma," 46,581,557 "," 44,273,054 ",95.04," 1,143 "," 40,741 ",49,,,,,,,
Santa Rosa,Sonoma," 280,521,004 "," 263,448,172 ",94.16," 1,700 "," 164,976 ",84,,,,,,,
Sebastopol,Sonoma," 11,449,985 "," 9,818,185 ",87.49," 1,556 "," 7,359 ",27,,,,,,,
Sonoma,Sonoma," 16,698,809 "," 15,823,528 ",94.95," 1,601 "," 10,430 ",51,,,,,,,
Windsor,Sonoma," 18,855,481 "," 17,734,086 ",94.05, 719 ," 26,229 ",48,,,,,,,
Ceres,Stanislaus," 34,170,862 "," 30,212,168 ",88.46, 764 ," 44,731 ",43,,,,,,,
Hughson,Stanislaus," 26,987,028 "," 15,437,395 ",57.20," 4,200 "," 6,425 ",23,,,,,,,
Modesto,Stanislaus," 298,241,378 "," 240,661,216 ",81.28," 1,477 "," 201,886 ",96,,,,,,,
Newman,Stanislaus," 11,629,881 "," 7,887,792 ",71.61," 1,164 "," 9,989 ",37,,,,,,,
Oakdale,Stanislaus," 28,509,602 "," 25,563,799 ",89.67," 1,400 "," 20,364 ",28,,,,,,,
Patterson,Stanislaus," 25,880,507 "," 23,765,337 ",91.85," 1,314 "," 19,697 ",32,,,,,,,
Riverbank,Stanislaus," 14,769,128 "," 11,688,326 ",79.14, 665 ," 22,198 ",52,,,,,,,
Turlock,Stanislaus," 72,651,298 "," 58,995,940 ",81.30," 1,069 "," 67,953 ",72,,,,,,,
Waterford,Stanislaus," 3,618,041 "," 3,004,877 ",83.05, 431 ," 8,395 ",37,,,,,,,
Live Oak,Sutter," 17,060,446 "," 15,591,262 ",91.39," 2,069 "," 8,244 ",45,,,,,,,
Yuba City,Sutter," 69,163,841 "," 62,656,046 ",90.59," 1,077 "," 64,224 ",55,,,,,,,
Corning,Tehama," 8,112,451 "," 7,405,440 ",91.28," 1,064 "," 7,624 ",45,,,,,,,
Red Bluff,Tehama," 12,760,504 "," 10,491,432 ",82.22, 910 ," 14,026 ",25,,,,,,,
Tehama,Tehama," 354,945 "," 230,085 ",64.82, 927 , 383 ,126,,,,,,,
Dinuba,Tulare," 43,214,917 "," 38,909,030 ",90.04," 2,042 "," 21,163 ",27,,,,,,,
Exeter,Tulare," 8,793,390 "," 7,500,227 ",85.29, 857 ," 10,255 ",27,,,,,,,
Farmersville,Tulare," 7,329,533 "," 4,093,084 ",55.84, 702 ," 10,445 ",25,,,,,,,
Lindsay,Tulare,<Null>,<Null>,<Null>, <Null> ," 11,664 ",34,,,,,,,
Porterville,Tulare," 57,172,711 "," 47,938,695 ",83.99," 1,068 "," 53,531 ",40,,,,,,,
Tulare,Tulare," 120,102,350 "," 111,669,914 ",92.98," 2,065 "," 58,150 ",57,,,,,,,
Visalia,Tulare," 140,314,439 "," 122,016,485 ",87.43," 1,151 "," 121,882 ",58,,,,,,,
Woodlake,Tulare," 6,178,680 "," 4,659,789 ",75.42, 852 ," 7,252 ",27,,,,,,,
Sonora,Tuolumne," 7,734,482 "," 6,866,123 ",88.81," 1,579 "," 4,899 ",25,,,,,,,
Camarillo,Ventura," 89,182,991 "," 84,381,740 ",94.62," 1,386 "," 64,340 ",55,,,,,,,
Fillmore,Ventura," 21,305,403 "," 20,091,000 ",94.30," 1,433 "," 14,863 ",41,,,,,,,
Moorpark,Ventura," 24,818,023 "," 21,043,992 ",84.92, 728 ," 34,100 ",31,,,,,,,
Ojai,Ventura," 15,388,269 "," 14,177,536 ",92.13," 2,053 "," 7,496 ",27,,,,,,,
Oxnard,Ventura," 369,129,262 "," 311,399,545 ",84.36," 1,893 "," 194,972 ",62,,,,,,,
Port Hueneme,Ventura," 38,324,210 "," 36,042,437 ",94.05," 1,765 "," 21,717 ",41,,,,,,,
San Buenaventura,Ventura," 157,086,557 "," 149,156,996 ",94.95," 1,485 "," 105,809 ",82,,,,,,,
Santa Paula,Ventura," 38,701,563 "," 36,654,170 ",94.71," 1,323 "," 29,248 ",31,,,,,,,
Simi Valley,Ventura," 86,355,564 "," 73,166,250 ",84.75, 703 ," 122,864 ",59,,,,,,,
Thousand Oaks,Ventura," 145,021,824 "," 132,411,126 ",91.54," 1,154 "," 125,633 ",62,,,,,,,
Davis,Yolo," 109,755,745 "," 94,425,552 ",86.05," 1,679 "," 65,359 ",49,,,,,,,
West Sacramento,Yolo," 103,918,409 "," 92,596,094 ",89.10," 2,198 "," 47,278 ",46,,,,,,,
Winters,Yolo," 8,173,079 "," 7,862,549 ",96.20," 1,235 "," 6,616 ",23,,,,,,,
Woodland,Yolo," 85,669,094 "," 70,124,925 ",81.86," 1,551 "," 55,229 ",42,,,,,,,
Marysville,Yuba," 10,290,501 "," 8,529,300 ",83.86, 840 ," 12,248 ",29,,,,,,,
Wheatland,Yuba," 2,752,146 "," 2,578,770 ",93.70, 814 ," 3,381 ",28,,,,,,,
